year,month,month_num,close_usd
2017,Jan,1,970.18
2017,Feb,2,1190.78
2017,Mar,3,1071.79
2017,Apr,4,1348.27
2017,May,5,2286.29
2017,Jun,6,2492.60
2017,Jul,7,2875.34
2017,Aug,8,4764.87
2017,Sep,9,4338.71
2017,Oct,10,6468.40
2017,Nov,11,10233.60
2017,Dec,12,13860.14
2018,Jan,1,10166.51
2018,Feb,2,10326.76
2018,Mar,3,6925.01
2018,Apr,4,9240.55
2018,May,5,7488.99
2018,Jun,6,6394.29
2018,Jul,7,8220.07
2018,Aug,8,7014.35
2018,Sep,9,6601.80
2018,Oct,10,6317.61
2018,Nov,11,3908.76
2018,Dec,12,3693.79
2019,Jan,1,3457.79
2019,Feb,2,3784.51
2019,Mar,3,4092.63
2019,Apr,4,5269.03
2019,May,5,8574.50
2019,Jun,6,10764.28
2019,Jul,7,10085.80
2019,Aug,8,9596.44
2019,Sep,9,8293.87
2019,Oct,10,9199.58
2019,Nov,11,7569.63
2019,Dec,12,7193.60
2020,Jan,1,9350.53
2020,Feb,2,8778.44
2020,Mar,3,6424.35
2020,Apr,4,8628.66
2020,May,5,9446.57
2020,Jun,6,9137.08
2020,Jul,7,11351.62
2020,Aug,8,11681.36
2020,Sep,9,10764.48
2020,Oct,10,13804.81
2020,Nov,11,19698.14
2020,Dec,12,29001.72
2021,Jan,1,33141.52
2021,Feb,2,45231.77
2021,Mar,3,58918.83
2021,Apr,4,57684.10
2021,May,5,37332.86
2021,Jun,6,35040.84
2021,Jul,7,41461.84
2021,Aug,8,47166.59
2021,Sep,9,43790.89
2021,Oct,10,61318.96
2021,Nov,11,56905.07
2021,Dec,12,46306.45
