year,month,month_num,close_usd
2017,Jan,1,0.0063
2017,Feb,2,0.0058
2017,Mar,3,0.0056
2017,Apr,4,0.0349
2017,May,5,0.2527
2017,Jun,6,0.2681
2017,Jul,7,0.1822
2017,Aug,8,0.2068
2017,Sep,9,0.1961
2017,Oct,10,0.2038
2017,Nov,11,0.2500
2017,Dec,12,2.3000
2018,Jan,1,1.1268
2018,Feb,2,0.9225
2018,Mar,3,0.5131
2018,Apr,4,0.8260
2018,May,5,0.6095
2018,Jun,6,0.4570
2018,Jul,7,0.4381
2018,Aug,8,0.3359
2018,Sep,9,0.5817
2018,Oct,10,0.4536
2018,Nov,11,0.3620
2018,Dec,12,0.3535
2019,Jan,1,0.2925
2019,Feb,2,0.3056
2019,Mar,3,0.3109
2019,Apr,4,0.3007
2019,May,5,0.4142
2019,Jun,6,0.4627
2019,Jul,7,0.3188
2019,Aug,8,0.2619
2019,Sep,9,0.2454
2019,Oct,10,0.2920
2019,Nov,11,0.2218
2019,Dec,12,0.1924
2020,Jan,1,0.2426
2020,Feb,2,0.2364
2020,Mar,3,0.1755
2020,Apr,4,0.2150
2020,May,5,0.2030
2020,Jun,6,0.1764
2020,Jul,7,0.2418
2020,Aug,8,0.2906
2020,Sep,9,0.2419
2020,Oct,10,0.2407
2020,Nov,11,0.6520
2020,Dec,12,0.2135
2021,Jan,1,0.3719
2021,Feb,2,0.4350
2021,Mar,3,0.5623
2021,Apr,4,1.3897
2021,May,5,0.9199
2021,Jun,6,0.6552
2021,Jul,7,0.7515
2021,Aug,8,1.1048
2021,Sep,9,0.9437
2021,Oct,10,1.0943
2021,Nov,11,0.9692
2021,Dec,12,0.8321
