Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2006,165000,168000,170000,172000,180000,175000,180000,182000,180000,178000,183000,192000
2007,192000,194000,196000,200000,198000,195000,198000,202000,210000,218000,230000,236000
2008,240000,258000,278000,265000,265000,268000,280000,255000,265000,235000,248000,270000
2009,278000,290000,285000,280000,290000,295000,290000,300000,315000,325000,345000,350000
2010,350000,345000,340000,348000,370000,390000,375000,395000,410000,420000,435000,432000
2011,430000,420000,430000,450000,470000,480000,510000,560000,545000,530000,510000,490000
2012,510000,520000,515000,510000,500000,495000,500000,520000,540000,530000,520000,505000
2013,525000,520000,505000,470000,440000,420000,430000,450000,465000,460000,470000,500000
2014,505000,510000,510000,500000,498000,510000,515000,520000,525000,530000,530000,529000
2015,520000,515000,510000,510000,515000,530000,540000,545000,555000,555000,545000,545000
2016,545000,560000,565000,570000,575000,590000,600000,595000,590000,588000,585000,598000
2017,598000,605000,610000,612000,615000,620000,630000,635000,640000,645000,640000,642000
2018,640000,638000,635000,640000,638000,643000,645000,648000,655000,660000,662000,667000
2019,665000,665000,665000,670000,680000,700000,720000,740000,760000,762000,758000,752000
2020,770000,795000,830000,870000,900000,920000,960000,1000000,960000,940000,920000,850000
2021,872000,880000,885000,890000,900000,910000,920000,930000,935000,940000,940000,938000
