year,month,month_num,jii_close
2006,Jan,1,230.77
2006,Feb,2,238.44
2006,Mar,3,237.60
2006,Apr,4,244.69
2006,May,5,226.08
2006,Jun,6,236.53
2006,Jul,7,243.18
2006,Aug,8,253.70
2006,Sep,9,270.13
2006,Oct,10,283.58
2006,Nov,11,295.87
2006,Dec,12,311.28
2007,Jan,1,326.79
2007,Feb,2,327.34
2007,Mar,3,331.75
2007,Apr,4,358.13
2007,May,5,369.34
2007,Jun,6,385.38
2007,Jul,7,407.07
2007,Aug,8,383.21
2007,Sep,9,416.71
2007,Oct,10,460.26
2007,Nov,11,482.23
2007,Dec,12,493.01
2008,Jan,1,463.15
2008,Feb,2,494.21
2008,Mar,3,434.34
2008,Apr,4,428.93
2008,May,5,425.87
2008,Jun,6,378.46
2008,Jul,7,391.27
2008,Aug,8,360.18
2008,Sep,9,232.80
2008,Oct,10,197.87
2008,Nov,11,206.41
2008,Dec,12,216.19
2009,Jan,1,226.96
2009,Feb,2,222.97
2009,Mar,3,246.98
2009,Apr,4,293.32
2009,May,5,310.95
2009,Jun,6,335.04
2009,Jul,7,367.01
2009,Aug,8,383.66
2009,Sep,9,398.67
2009,Oct,10,405.72
2009,Nov,11,410.57
2009,Dec,12,417.18
2010,Jan,1,428.50
2010,Feb,2,444.76
2010,Mar,3,464.59
2010,Apr,4,478.55
2010,May,5,458.64
2010,Jun,6,471.40
2010,Jul,7,506.27
2010,Aug,8,517.33
2010,Sep,9,533.15
2010,Oct,10,519.83
2010,Nov,11,510.32
2010,Dec,12,532.90
2011,Jan,1,507.84
2011,Feb,2,517.07
2011,Mar,3,525.79
2011,Apr,4,536.44
2011,May,5,531.38
2011,Jun,6,536.04
2011,Jul,7,567.12
2011,Aug,8,532.97
2011,Sep,9,491.62
2011,Oct,10,506.30
2011,Nov,11,505.30
2011,Dec,12,537.03
2012,Jan,1,560.45
2012,Feb,2,574.93
2012,Mar,3,582.54
2012,Apr,4,587.83
2012,May,5,562.63
2012,Jun,6,564.60
2012,Jul,7,586.45
2012,Aug,8,593.13
2012,Sep,9,619.49
2012,Oct,10,626.81
2012,Nov,11,605.78
2012,Dec,12,594.79
2013,Jan,1,610.98
2013,Feb,2,632.24
2013,Mar,3,660.23
2013,Apr,4,679.30
2013,May,5,676.58
2013,Jun,6,660.16
2013,Jul,7,623.75
2013,Aug,8,587.76
2013,Sep,9,585.59
2013,Oct,10,615.71
2013,Nov,11,564.89
2013,Dec,12,585.11
2014,Jan,1,603.15
2014,Feb,2,621.49
2014,Mar,3,640.41
2014,Apr,4,646.04
2014,May,5,655.09
2014,Jun,6,656.83
2014,Jul,7,667.34
2014,Aug,8,670.44
2014,Sep,9,672.27
2014,Oct,10,662.06
2014,Nov,11,668.61
2014,Dec,12,691.04
2015,Jan,1,700.12
2015,Feb,2,725.05
2015,Mar,3,723.09
2015,Apr,4,680.34
2015,May,5,673.27
2015,Jun,6,656.99
2015,Jul,7,641.97
2015,Aug,8,586.17
2015,Sep,9,556.09
2015,Oct,10,598.48
2015,Nov,11,577.84
2015,Dec,12,603.35
2016,Jan,1,619.66
2016,Feb,2,640.83
2016,Mar,3,651.34
2016,Apr,4,660.44
2016,May,5,636.77
2016,Jun,6,663.58
2016,Jul,7,694.34
2016,Aug,8,717.15
2016,Sep,9,733.27
2016,Oct,10,740.81
2016,Nov,11,691.77
2016,Dec,12,694.13
2017,Jan,1,707.81
2017,Feb,2,720.58
2017,Mar,3,725.11
2017,Apr,4,737.41
2017,May,5,738.82
2017,Jun,6,741.02
2017,Jul,7,740.40
2017,Aug,8,727.65
2017,Sep,9,732.78
2017,Oct,10,734.56
2017,Nov,11,727.20
2017,Dec,12,759.07
2018,Jan,1,759.29
2018,Feb,2,766.62
2018,Mar,3,718.18
2018,Apr,4,680.11
2018,May,5,642.29
2018,Jun,6,629.60
2018,Jul,7,640.28
2018,Aug,8,641.14
2018,Sep,9,665.34
2018,Oct,10,667.77
2018,Nov,11,685.78
2018,Dec,12,685.22
2019,Jan,1,703.87
2019,Feb,2,698.94
2019,Mar,3,717.64
2019,Apr,4,703.68
2019,May,5,690.88
2019,Jun,6,701.61
2019,Jul,7,700.48
2019,Aug,8,676.25
2019,Sep,9,685.89
2019,Oct,10,689.25
2019,Nov,11,672.98
2019,Dec,12,698.09
2020,Jan,1,669.91
2020,Feb,2,609.47
2020,Mar,3,445.88
2020,Apr,4,510.64
2020,May,5,505.56
2020,Jun,6,517.09
2020,Jul,7,533.64
2020,Aug,8,548.25
2020,Sep,9,540.54
2020,Oct,10,553.10
2020,Nov,11,574.63
2020,Dec,12,600.20
2021,Jan,1,593.79
2021,Feb,2,627.72
2021,Mar,3,607.99
2021,Apr,4,615.80
2021,May,5,621.72
2021,Jun,6,596.40
2021,Jul,7,574.12
2021,Aug,8,600.40
2021,Sep,9,575.71
2021,Oct,10,616.31
2021,Nov,11,621.22
2021,Dec,12,646.00
